source,target,value,link,nodes
Psychiatric Problem Abnormal Behavior Suicide Attempt , Behavioral  Hostile,5,"{source:""Psychiatric Problem Abnormal Behavior Suicide Attempt"", target:""Behavioral Hostile"", value: 5}",
Resp  Abnormal Breathing Hypoxia , Hypertensive heart disease with heart failure,5,"{source:""Resp Abnormal Breathing Hypoxia"", target:""Hypertensive heart disease with heart failure"", value: 5}",
Respiratory  Acute Onset Distress , Acute on chronic diastolic congestive heart failure,5,"{source:""Respiratory Acute Onset Distress"", target:""Acute on chronic diastolic congestive heart failure"", value: 5}",
Respiratory  Acute Onset Distress , Heart failure unspecified,5,"{source:""Respiratory Acute Onset Distress"", target:""Heart failure unspecified"", value: 5}",
Respiratory  Acute Onset Distress , Sepsis due to Streptococcus pneumoniae,5,"{source:""Respiratory Acute Onset Distress"", target:""Sepsis due to Streptococcus pneumoniae"", value: 5}",
Respiratory  Acute Onset Distress , Unspecified atrial fibrillation,5,"{source:""Respiratory Acute Onset Distress"", target:""Unspecified atrial fibrillation"", value: 5}",
Respiratory  Acute Onset Distress , Unspecified bacterial pneumonia,5,"{source:""Respiratory Acute Onset Distress"", target:""Unspecified bacterial pneumonia"", value: 5}",
Respiratory  Asthma , Pneumonia unspecified organism,5,"{source:""Respiratory Asthma"", target:""Pneumonia unspecified organism"", value: 5}",
Respiratory  Hyperventilation , Other chest pain,5,"{source:""Respiratory Hyperventilation"", target:""Other chest pain"", value: 5}",
Respiratory  Not Otherwise Listed , Chest pain unspecified,5,"{source:""Respiratory Not Otherwise Listed"", target:""Chest pain unspecified"", value: 5}",
Respiratory  Not Otherwise Listed , Other chest pain,5,"{source:""Respiratory Not Otherwise Listed"", target:""Other chest pain"", value: 5}",
Respiratory  Not Otherwise Listed , Shortness of breath,5,"{source:""Respiratory Not Otherwise Listed"", target:""Shortness of breath"", value: 5}",
Sick Person , GI GU  Pelvic or Perineal Pain,5,"{source:""Sick Person"", target:""GI GU Pelvic or Perineal Pain"", value: 5}",
Sick Person , Other specified injuries of lower back initial encounter,5,"{source:""Sick Person"", target:""Other specified injuries of lower back initial encounter"", value: 5}",
Syncope  Syncopal Episode or Near , Dehydration,5,"{source:""Syncope Syncopal Episode or Near"", target:""Dehydration"", value: 5}",
Syncope  Syncopal Episode or Near , Dizziness and giddiness,5,"{source:""Syncope Syncopal Episode or Near"", target:""Dizziness and giddiness"", value: 5}",
Syncope  Syncopal Episode or Near , Laceration without foreign body of scalp initial encounter,5,"{source:""Syncope Syncopal Episode or Near"", target:""Laceration without foreign body of scalp initial encounter"", value: 5}",
Unspecified abdominal pain , Calculus of kidney,5,"{source:""Unspecified abdominal pain"", target:""Calculus of kidney"", value: 5}",
Unspecified abdominal pain , Right lower quadrant pain,5,"{source:""Unspecified abdominal pain"", target:""Right lower quadrant pain"", value: 5}",
Vomiting , Sepsis unspecified organism,5,"{source:""Vomiting"", target:""Sepsis unspecified organism"", value: 5}",
Weakness , Cellulitis of left lower limb,5,"{source:""Weakness"", target:""Cellulitis of left lower limb"", value: 5}",
Weakness , Cerebral infarction unspecified,5,"{source:""Weakness"", target:""Cerebral infarction unspecified"", value: 5}",
Weakness , Cystitis unspecified without hematuria,5,"{source:""Weakness"", target:""Cystitis unspecified without hematuria"", value: 5}",
Weakness , Dorsalgia unspecified,5,"{source:""Weakness"", target:""Dorsalgia unspecified"", value: 5}",
Weakness , Hyperkalemia,5,"{source:""Weakness"", target:""Hyperkalemia"", value: 5}",
Weakness , Hypokalemia,5,"{source:""Weakness"", target:""Hypokalemia"", value: 5}",
Weakness , Low back pain,5,"{source:""Weakness"", target:""Low back pain"", value: 5}",
Weakness , Rhabdomyolysis,5,"{source:""Weakness"", target:""Rhabdomyolysis"", value: 5}",
Weakness , Sepsis due to anaerobes,5,"{source:""Weakness"", target:""Sepsis due to anaerobes"", value: 5}",
Weakness , Sepsis due to Methicillin susceptible Staphylococcus aureus,5,"{source:""Weakness"", target:""Sepsis due to Methicillin susceptible Staphylococcus aureus"", value: 5}",
Abuse of Alcohol  Withdrawal , Alcohol dependence with withdrawal unspecified,6,"{source:""Abuse of Alcohol Withdrawal"", target:""Alcohol dependence with withdrawal unspecified"", value: 6}",
Abuse of Alcohol , Major depressive disorder single episode unspecified,6,"{source:""Abuse of Alcohol"", target:""Major depressive disorder single episode unspecified"", value: 6}",
Abuse of Hallucinogen , Other stimulant abuse uncomplicated,6,"{source:""Abuse of Hallucinogen"", target:""Other stimulant abuse uncomplicated"", value: 6}",
Abuse of Psychoactive Substance , Altered mental status unspecified,6,"{source:""Abuse of Psychoactive Substance"", target:""Altered mental status unspecified"", value: 6}",
Alcohol dependence with intoxication unspecified , Alcohol abuse with intoxication unspecified,6,"{source:""Alcohol dependence with intoxication unspecified"", target:""Alcohol abuse with intoxication unspecified"", value: 6}",
Allergic Reaction , Allergy unspecified initial encounter,6,"{source:""Allergic Reaction"", target:""Allergy unspecified initial encounter"", value: 6}",
Behavioral  Anxiety , Other stimulant abuse uncomplicated,6,"{source:""Behavioral Anxiety"", target:""Other stimulant abuse uncomplicated"", value: 6}",
Behavioral  Mental Disorder Not Otherwise Listed , Laceration without foreign body of left wrist init encntr,6,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Laceration without foreign body of left wrist init encntr"", value: 6}",
Behavioral  Mental Disorder Not Otherwise Listed , Other specified anxiety disorders,6,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Other specified anxiety disorders"", value: 6}",
Behavioral  Mental Disorder Not Otherwise Listed , Unspecified dementia with behavioral disturbance,6,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Unspecified dementia with behavioral disturbance"", value: 6}",
Behavioral  Strange Behavior , Suicidal ideations,6,"{source:""Behavioral Strange Behavior"", target:""Suicidal ideations"", value: 6}",
Behavioral  Suicide Attempt , Major depressive disorder recurrent moderate,6,"{source:""Behavioral Suicide Attempt"", target:""Major depressive disorder recurrent moderate"", value: 6}",
Behavioral  Suicide Attempt , Poisoning by benzodiazepines intentional self harm init,6,"{source:""Behavioral Suicide Attempt"", target:""Poisoning by benzodiazepines intentional self harm init"", value: 6}",
Breathing Problem , Abuse of Alcohol  Intoxication,6,"{source:""Breathing Problem"", target:""Abuse of Alcohol Intoxication"", value: 6}",
Breathing Problem , Other abnormalities of breathing,6,"{source:""Breathing Problem"", target:""Other abnormalities of breathing"", value: 6}",
Breathing Problem , Pain  Back Non traumatic,6,"{source:""Breathing Problem"", target:""Pain Back Non traumatic"", value: 6}",
Breathing Problem , Respiratory  Pneumothorax Spontaneous,6,"{source:""Breathing Problem"", target:""Respiratory Pneumothorax Spontaneous"", value: 6}",
Breathing Problem , Respiratory  Pulmonary Edema Acute Onset,6,"{source:""Breathing Problem"", target:""Respiratory Pulmonary Edema Acute Onset"", value: 6}",
Chest Pain Non Traumatic , Behavioral  Depression,6,"{source:""Chest Pain Non Traumatic"", target:""Behavioral Depression"", value: 6}",
Chest Pain Non Traumatic , Respiratory  Not Otherwise Listed,6,"{source:""Chest Pain Non Traumatic"", target:""Respiratory Not Otherwise Listed"", value: 6}",
Chest pain unspecified , ST elevation STEMI myocardial infarction of unsp site,6,"{source:""Chest pain unspecified"", target:""ST elevation STEMI myocardial infarction of unsp site"", value: 6}",
Chest pain unspecified , Unspecified atrial fibrillation,6,"{source:""Chest pain unspecified"", target:""Unspecified atrial fibrillation"", value: 6}",
CV  Cardiac Arrhythmia Dysrhythmia , Paroxysmal atrial fibrillation,6,"{source:""CV Cardiac Arrhythmia Dysrhythmia"", target:""Paroxysmal atrial fibrillation"", value: 6}",
CV  Chest Pain  Angina , Precordial pain,6,"{source:""CV Chest Pain Angina"", target:""Precordial pain"", value: 6}",
CV  Chest Pain  Presumed Cardiac , Hyp hrt & chr kdny dis w hrt fail and stg 1 4 unsp chr kdny,6,"{source:""CV Chest Pain Presumed Cardiac"", target:""Hyp hrt & chr kdny dis w hrt fail and stg 1 4 unsp chr kdny"", value: 6}",
CV  Chest Pain  Presumed Cardiac , STEMI involving oth coronary artery of inferior wall,6,"{source:""CV Chest Pain Presumed Cardiac"", target:""STEMI involving oth coronary artery of inferior wall"", value: 6}",
CV  Chest Pain  Presumed Cardiac , Supraventricular tachycardia,6,"{source:""CV Chest Pain Presumed Cardiac"", target:""Supraventricular tachycardia"", value: 6}",
CV  Congestive Heart Failure CHF , Hyp hrt & chr kdny dis w hrt fail and stg 1 4 unsp chr kdny,6,"{source:""CV Congestive Heart Failure CHF"", target:""Hyp hrt & chr kdny dis w hrt fail and stg 1 4 unsp chr kdny"", value: 6}",
Dehydration , Acute kidney failure unspecified,6,"{source:""Dehydration"", target:""Acute kidney failure unspecified"", value: 6}",
Endocrine  Hyperglycemia  Diabetic Diabetes , Type 2 diabetes mellitus with hyperglycemia,6,"{source:""Endocrine Hyperglycemia Diabetic Diabetes"", target:""Type 2 diabetes mellitus with hyperglycemia"", value: 6}",
Endocrine  Hypoglycemia  Diabetic Diabetes , Type 2 diabetes mellitus with hypoglycemia without coma,6,"{source:""Endocrine Hypoglycemia Diabetic Diabetes"", target:""Type 2 diabetes mellitus with hypoglycemia without coma"", value: 6}",
Falls , History of falling,6,"{source:""Falls"", target:""History of falling"", value: 6}",
Falls , Pain  Extremety Non traumatic,6,"{source:""Falls"", target:""Pain Extremety Non traumatic"", value: 6}",
General Malaise , Pneumonia unspecified organism,6,"{source:""General Malaise"", target:""Pneumonia unspecified organism"", value: 6}",
General Malaise , Weakness,6,"{source:""General Malaise"", target:""Weakness"", value: 6}",
GI GU  Generalized Abdominal Pain , Urinary tract infection site not specified,6,"{source:""GI GU Generalized Abdominal Pain"", target:""Urinary tract infection site not specified"", value: 6}",
GI GU  Nausea , Dehydration,6,"{source:""GI GU Nausea"", target:""Dehydration"", value: 6}",
GI GU  Nausea , Dizziness and giddiness,6,"{source:""GI GU Nausea"", target:""Dizziness and giddiness"", value: 6}",
GI GU  Nausea , Syncope and collapse,6,"{source:""GI GU Nausea"", target:""Syncope and collapse"", value: 6}",
GI GU  Nausea , Vomiting unspecified,6,"{source:""GI GU Nausea"", target:""Vomiting unspecified"", value: 6}",
GI GU  Pelvic or Perineal Pain , Displaced intertrochanteric fracture of right femur init,6,"{source:""GI GU Pelvic or Perineal Pain"", target:""Displaced intertrochanteric fracture of right femur init"", value: 6}",
Infectious  Pneumonia , Pneumonia unspecified organism,6,"{source:""Infectious Pneumonia"", target:""Pneumonia unspecified organism"", value: 6}",
Injury  Hip , Age rel osteopor w current path fracture left femur init,6,"{source:""Injury Hip"", target:""Age rel osteopor w current path fracture left femur init"", value: 6}",
Injury  Lower Back , Contusion of lower back and pelvis initial encounter,6,"{source:""Injury Lower Back"", target:""Contusion of lower back and pelvis initial encounter"", value: 6}",
Injury  Lower leg , Contusion of right knee initial encounter,6,"{source:""Injury Lower leg"", target:""Contusion of right knee initial encounter"", value: 6}",
Injury  Not Otherwise Listed , Age rel osteopor w current path fracture left femur init,6,"{source:""Injury Not Otherwise Listed"", target:""Age rel osteopor w current path fracture left femur init"", value: 6}",
Injury  Not Otherwise Listed , Contusion of right hip initial encounter,6,"{source:""Injury Not Otherwise Listed"", target:""Contusion of right hip initial encounter"", value: 6}",
Injury  Not Otherwise Listed , Fracture of nasal bones init encntr for closed fracture,6,"{source:""Injury Not Otherwise Listed"", target:""Fracture of nasal bones init encntr for closed fracture"", value: 6}",
Injury  Not Otherwise Listed , Laceration without foreign body left lower leg init encntr,6,"{source:""Injury Not Otherwise Listed"", target:""Laceration without foreign body left lower leg init encntr"", value: 6}",
Injury  Not Otherwise Listed , Pain in right knee,6,"{source:""Injury Not Otherwise Listed"", target:""Pain in right knee"", value: 6}",
Injury  Not Otherwise Listed , Unsp intracapsular fracture of right femur init for clos fx,6,"{source:""Injury Not Otherwise Listed"", target:""Unsp intracapsular fracture of right femur init for clos fx"", value: 6}",
Laceration without foreign body unspecified thigh sequela , Laceration w o foreign body of oth part of head init encntr,6,"{source:""Laceration without foreign body unspecified thigh sequela"", target:""Laceration w o foreign body of oth part of head init encntr"", value: 6}",
Laceration without foreign body unspecified thigh sequela , Laceration without foreign body of scalp initial encounter,6,"{source:""Laceration without foreign body unspecified thigh sequela"", target:""Laceration without foreign body of scalp initial encounter"", value: 6}",
Neuro  Altered Mental Status altered LOC decreased LOC , Delusional disorders,6,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Delusional disorders"", value: 6}",
Neuro  Altered Mental Status altered LOC decreased LOC , Disorientation unspecified,6,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Disorientation unspecified"", value: 6}",
Neuro  Altered Mental Status altered LOC decreased LOC , Poisoning by oth antieplptc and sed hypntc drugs acc init,6,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Poisoning by oth antieplptc and sed hypntc drugs acc init"", value: 6}",
Neuro  Altered Mental Status altered LOC decreased LOC , Rhabdomyolysis,6,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Rhabdomyolysis"", value: 6}",
Neuro  Headache  Migraine Pain , Migraine unsp not intractable without status migrainosus,6,"{source:""Neuro Headache Migraine Pain"", target:""Migraine unsp not intractable without status migrainosus"", value: 6}",
Neuro  Seizure , Simple febrile convulsions,6,"{source:""Neuro Seizure"", target:""Simple febrile convulsions"", value: 6}",
Other fatigue , Major depressive disorder single episode unspecified,6,"{source:""Other fatigue"", target:""Major depressive disorder single episode unspecified"", value: 6}",
Other symptoms and signs involving emotional state , Major depressv disorder recurrent severe w o psych features,6,"{source:""Other symptoms and signs involving emotional state"", target:""Major depressv disorder recurrent severe w o psych features"", value: 6}",
Pain  Back Non traumatic , Contusion of lower back and pelvis initial encounter,6,"{source:""Pain Back Non traumatic"", target:""Contusion of lower back and pelvis initial encounter"", value: 6}",
Pain  Back Non traumatic , Other chronic pain,6,"{source:""Pain Back Non traumatic"", target:""Other chronic pain"", value: 6}",
Pain  Back Non traumatic , Strain of muscle fascia and tendon of lower back init,6,"{source:""Pain Back Non traumatic"", target:""Strain of muscle fascia and tendon of lower back init"", value: 6}",
Pain  Chest presumed non cardiac , Non ST elevation NSTEMI myocardial infarction,6,"{source:""Pain Chest presumed non cardiac"", target:""Non ST elevation NSTEMI myocardial infarction"", value: 6}",
Pain  Chest presumed non cardiac , Precordial pain,6,"{source:""Pain Chest presumed non cardiac"", target:""Precordial pain"", value: 6}",
Pain  Chest presumed non cardiac , Sepsis unspecified organism,6,"{source:""Pain Chest presumed non cardiac"", target:""Sepsis unspecified organism"", value: 6}",
Pain  Not Elsewhere Mentioned Sudden Onset , Displaced intertrochanteric fracture of left femur init,6,"{source:""Pain Not Elsewhere Mentioned Sudden Onset"", target:""Displaced intertrochanteric fracture of left femur init"", value: 6}",
Pain  Not Elsewhere Mentioned Sudden Onset , Strain of muscle fascia and tendon at neck level init,6,"{source:""Pain Not Elsewhere Mentioned Sudden Onset"", target:""Strain of muscle fascia and tendon at neck level init"", value: 6}",
Pain unspecified , Age rel osteopor w current path fracture left femur init,6,"{source:""Pain unspecified"", target:""Age rel osteopor w current path fracture left femur init"", value: 6}",
Pain unspecified , Cellulitis of right lower limb,6,"{source:""Pain unspecified"", target:""Cellulitis of right lower limb"", value: 6}",
Pain unspecified , Chest pain unspecified,6,"{source:""Pain unspecified"", target:""Chest pain unspecified"", value: 6}",
Poisoning by unspecified drugs medicaments and biological substances undetermined , Other psychoactive substance abuse uncomplicated,6,"{source:""Poisoning by unspecified drugs medicaments and biological substances undetermined"", target:""Other psychoactive substance abuse uncomplicated"", value: 6}",
Psychiatric Problem Abnormal Behavior Suicide Attempt , Behavioral  Disorientation,6,"{source:""Psychiatric Problem Abnormal Behavior Suicide Attempt"", target:""Behavioral Disorientation"", value: 6}",
Respiratory  Acute Onset Distress , Acute on chronic systolic congestive heart failure,6,"{source:""Respiratory Acute Onset Distress"", target:""Acute on chronic systolic congestive heart failure"", value: 6}",
Respiratory  Acute Onset Distress , Other specified sepsis,6,"{source:""Respiratory Acute Onset Distress"", target:""Other specified sepsis"", value: 6}",
Respiratory  COPD Chronic Obstructive Pulmonary Disease , Acute and chronic respiratory failure with hypercapnia,6,"{source:""Respiratory COPD Chronic Obstructive Pulmonary Disease"", target:""Acute and chronic respiratory failure with hypercapnia"", value: 6}",
Respiratory  Not Otherwise Listed , Other pulmonary embolism without acute cor pulmonale,6,"{source:""Respiratory Not Otherwise Listed"", target:""Other pulmonary embolism without acute cor pulmonale"", value: 6}",
Respiratory  Not Otherwise Listed , Unspecified asthma with acute exacerbation,6,"{source:""Respiratory Not Otherwise Listed"", target:""Unspecified asthma with acute exacerbation"", value: 6}",
Sick Person , Behavioral  Suicide Attempt,6,"{source:""Sick Person"", target:""Behavioral Suicide Attempt"", value: 6}",
Sick Person , Endocrine  Hypoglycemia  Diabetic Diabetes,6,"{source:""Sick Person"", target:""Endocrine Hypoglycemia Diabetic Diabetes"", value: 6}",
Weakness , Chest pain unspecified,6,"{source:""Weakness"", target:""Chest pain unspecified"", value: 6}",
Weakness , Chronic obstructive pulmonary disease w acute exacerbation,6,"{source:""Weakness"", target:""Chronic obstructive pulmonary disease w acute exacerbation"", value: 6}",
Weakness , Essential primary hypertension,6,"{source:""Weakness"", target:""Essential primary hypertension"", value: 6}",
Weakness , Headache,6,"{source:""Weakness"", target:""Headache"", value: 6}",
Weakness , Hypotension unspecified,6,"{source:""Weakness"", target:""Hypotension unspecified"", value: 6}",
Weakness , Non ST elevation NSTEMI myocardial infarction,6,"{source:""Weakness"", target:""Non ST elevation NSTEMI myocardial infarction"", value: 6}",
Weakness , Traumatic ischemia of muscle initial encounter,6,"{source:""Weakness"", target:""Traumatic ischemia of muscle initial encounter"", value: 6}",
Weakness , Unsp fracture of first lumbar vertebra init for clos fx,6,"{source:""Weakness"", target:""Unsp fracture of first lumbar vertebra init for clos fx"", value: 6}",
Behavioral  Anxiety , Panic disorder [episodic paroxysmal anxiety],7,"{source:""Behavioral Anxiety"", target:""Panic disorder [episodic paroxysmal anxiety]"", value: 7}",
Behavioral  Mental Disorder Not Otherwise Listed , Adjustment disorder with depressed mood,7,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Adjustment disorder with depressed mood"", value: 7}",
Behavioral  Mental Disorder Not Otherwise Listed , Major depressv disord single epsd sev w o psych features,7,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Major depressv disord single epsd sev w o psych features"", value: 7}",
Behavioral  Mental Disorder Not Otherwise Listed , Other conduct disorders,7,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Other conduct disorders"", value: 7}",
Behavioral  Strange Behavior , Schizophrenia unspecified,7,"{source:""Behavioral Strange Behavior"", target:""Schizophrenia unspecified"", value: 7}",
Behavioral  Suicide Attempt , Bipolar disorder unspecified,7,"{source:""Behavioral Suicide Attempt"", target:""Bipolar disorder unspecified"", value: 7}",
Behavioral  Suicide Attempt , Unsp psychosis not due to a substance or known physiol cond,7,"{source:""Behavioral Suicide Attempt"", target:""Unsp psychosis not due to a substance or known physiol cond"", value: 7}",
Breathing Problem , CV  Hypotension,7,"{source:""Breathing Problem"", target:""CV Hypotension"", value: 7}",
Breathing Problem , CV  Pulmonary Embolism,7,"{source:""Breathing Problem"", target:""CV Pulmonary Embolism"", value: 7}",
Breathing Problem , Endocrine  Hyperglycemia  Diabetic Diabetes,7,"{source:""Breathing Problem"", target:""Endocrine Hyperglycemia Diabetic Diabetes"", value: 7}",
Breathing Problem , GI GU  Generalized Abdominal Pain,7,"{source:""Breathing Problem"", target:""GI GU Generalized Abdominal Pain"", value: 7}",
Breathing Problem , Pain unspecified,7,"{source:""Breathing Problem"", target:""Pain unspecified"", value: 7}",
Breathing Problem , Syncope  Syncopal Episode or Near,7,"{source:""Breathing Problem"", target:""Syncope Syncopal Episode or Near"", value: 7}",
Chest Pain Non Traumatic , Abuse of Alcohol,7,"{source:""Chest Pain Non Traumatic"", target:""Abuse of Alcohol"", value: 7}",
Chest pain unspecified , Palpitations,7,"{source:""Chest pain unspecified"", target:""Palpitations"", value: 7}",
CV  Chest Pain  Angina , Non ST elevation NSTEMI myocardial infarction,7,"{source:""CV Chest Pain Angina"", target:""Non ST elevation NSTEMI myocardial infarction"", value: 7}",
CV  Chest Pain  Myocardial Infarction Non STEMI , Non ST elevation NSTEMI myocardial infarction,7,"{source:""CV Chest Pain Myocardial Infarction Non STEMI"", target:""Non ST elevation NSTEMI myocardial infarction"", value: 7}",
CV  Hypotension , Syncope and collapse,7,"{source:""CV Hypotension"", target:""Syncope and collapse"", value: 7}",
Falls , Fever,7,"{source:""Falls"", target:""Fever"", value: 7}",
Falls , Injury  Wrist Hand or Fingers,7,"{source:""Falls"", target:""Injury Wrist Hand or Fingers"", value: 7}",
General Malaise , Urinary tract infection site not specified,7,"{source:""General Malaise"", target:""Urinary tract infection site not specified"", value: 7}",
GI GU  Abdominal Pain Acute Onset , Epigastric pain,7,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Epigastric pain"", value: 7}",
GI GU  Abdominal Pain Acute Onset , Sepsis unspecified organism,7,"{source:""GI GU Abdominal Pain Acute Onset"", target:""Sepsis unspecified organism"", value: 7}",
GI GU  Generalized Abdominal Pain , Nausea with vomiting unspecified,7,"{source:""GI GU Generalized Abdominal Pain"", target:""Nausea with vomiting unspecified"", value: 7}",
GI GU  Generalized Abdominal Pain , Unspecified abdominal pain,7,"{source:""GI GU Generalized Abdominal Pain"", target:""Unspecified abdominal pain"", value: 7}",
Injury  Hip , Contusion of left hip initial encounter,7,"{source:""Injury Hip"", target:""Contusion of left hip initial encounter"", value: 7}",
Injury  Lower Back , Low back pain,7,"{source:""Injury Lower Back"", target:""Low back pain"", value: 7}",
Injury  Not Otherwise Listed , Displaced trimalleolar fracture of left lower leg init,7,"{source:""Injury Not Otherwise Listed"", target:""Displaced trimalleolar fracture of left lower leg init"", value: 7}",
Injury  Not Otherwise Listed , Oth disp fx of upper end of left humerus init for clos fx,7,"{source:""Injury Not Otherwise Listed"", target:""Oth disp fx of upper end of left humerus init for clos fx"", value: 7}",
Injury  Not Otherwise Listed , Sprain of unspecified ligament of right ankle init encntr,7,"{source:""Injury Not Otherwise Listed"", target:""Sprain of unspecified ligament of right ankle init encntr"", value: 7}",
Injury  Not Otherwise Listed , Syncope and collapse,7,"{source:""Injury Not Otherwise Listed"", target:""Syncope and collapse"", value: 7}",
Injury  Not Otherwise Listed , Unsp fracture of upper end of right humerus init,7,"{source:""Injury Not Otherwise Listed"", target:""Unsp fracture of upper end of right humerus init"", value: 7}",
Injury of unspecified cranial nerve initial encounter , Unspecified injury of head initial encounter,7,"{source:""Injury of unspecified cranial nerve initial encounter"", target:""Unspecified injury of head initial encounter"", value: 7}",
Neuro  Altered Mental Status altered LOC decreased LOC , Schizophrenia unspecified,7,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Schizophrenia unspecified"", value: 7}",
Neuro  Altered Mental Status altered LOC decreased LOC , Unspecified dementia without behavioral disturbance,7,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Unspecified dementia without behavioral disturbance"", value: 7}",
Neuro  Headache  Migraine Pain , Headache,7,"{source:""Neuro Headache Migraine Pain"", target:""Headache"", value: 7}",
Neuro  Headache Pain , Migraine unsp not intractable without status migrainosus,7,"{source:""Neuro Headache Pain"", target:""Migraine unsp not intractable without status migrainosus"", value: 7}",
Pain  Back Non traumatic , Urinary tract infection site not specified,7,"{source:""Pain Back Non traumatic"", target:""Urinary tract infection site not specified"", value: 7}",
Pain unspecified , Other chest pain,7,"{source:""Pain unspecified"", target:""Other chest pain"", value: 7}",
Pain unspecified , Pain in left hip,7,"{source:""Pain unspecified"", target:""Pain in left hip"", value: 7}",
Psychiatric Problem Abnormal Behavior Suicide Attempt , Other depressive episodes,7,"{source:""Psychiatric Problem Abnormal Behavior Suicide Attempt"", target:""Other depressive episodes"", value: 7}",
Psychiatric Problem Abnormal Behavior Suicide Attempt , State of emotional shock and stress unspecified,7,"{source:""Psychiatric Problem Abnormal Behavior Suicide Attempt"", target:""State of emotional shock and stress unspecified"", value: 7}",
Respiratory  Acute Onset Distress , Other chest pain,7,"{source:""Respiratory Acute Onset Distress"", target:""Other chest pain"", value: 7}",
Respiratory  Acute Onset Distress , Pneumonitis due to inhalation of food and vomit,7,"{source:""Respiratory Acute Onset Distress"", target:""Pneumonitis due to inhalation of food and vomit"", value: 7}",
Respiratory  COPD Chronic Obstructive Pulmonary Disease , Acute and chronic respiratory failure with hypoxia,7,"{source:""Respiratory COPD Chronic Obstructive Pulmonary Disease"", target:""Acute and chronic respiratory failure with hypoxia"", value: 7}",
Respiratory  COPD Chronic Obstructive Pulmonary Disease , Hypertensive heart disease with heart failure,7,"{source:""Respiratory COPD Chronic Obstructive Pulmonary Disease"", target:""Hypertensive heart disease with heart failure"", value: 7}",
Respiratory  Failure , Chronic obstructive pulmonary disease w acute exacerbation,7,"{source:""Respiratory Failure"", target:""Chronic obstructive pulmonary disease w acute exacerbation"", value: 7}",
Sepsis  Other , Sepsis unspecified organism,7,"{source:""Sepsis Other"", target:""Sepsis unspecified organism"", value: 7}",
Sick Person , GI Bleed  Hematemesis vomiting blood blood in vomit,7,"{source:""Sick Person"", target:""GI Bleed Hematemesis vomiting blood blood in vomit"", value: 7}",
Sick Person , Infectious  Common Cold,7,"{source:""Sick Person"", target:""Infectious Common Cold"", value: 7}",
Stupor , Sepsis unspecified organism,7,"{source:""Stupor"", target:""Sepsis unspecified organism"", value: 7}",
Weakness , Acute respiratory failure with hypoxia,7,"{source:""Weakness"", target:""Acute respiratory failure with hypoxia"", value: 7}",
Weakness , Benign paroxysmal vertigo unspecified ear,7,"{source:""Weakness"", target:""Benign paroxysmal vertigo unspecified ear"", value: 7}",
Weakness , Flu due to oth ident influenza virus w oth resp manifest,7,"{source:""Weakness"", target:""Flu due to oth ident influenza virus w oth resp manifest"", value: 7}",
Weakness , Hypo osmolality and hyponatremia,7,"{source:""Weakness"", target:""Hypo osmolality and hyponatremia"", value: 7}",
Weakness , Metabolic encephalopathy,7,"{source:""Weakness"", target:""Metabolic encephalopathy"", value: 7}",
Weakness , Vomiting unspecified,7,"{source:""Weakness"", target:""Vomiting unspecified"", value: 7}",
Abuse of Alcohol , Alcohol abuse uncomplicated,8,"{source:""Abuse of Alcohol"", target:""Alcohol abuse uncomplicated"", value: 8}",
Behavioral  Mental Disorder Not Otherwise Listed , Alcohol abuse uncomplicated,8,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Alcohol abuse uncomplicated"", value: 8}",
Behavioral  Mental Disorder Not Otherwise Listed , Laceration without foreign body of left forearm init encntr,8,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Laceration without foreign body of left forearm init encntr"", value: 8}",
Behavioral  Mental Disorder Not Otherwise Listed , Major depressive disorder recurrent moderate,8,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Major depressive disorder recurrent moderate"", value: 8}",
Behavioral  Mental Disorder Not Otherwise Listed , Other chest pain,8,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Other chest pain"", value: 8}",
Behavioral  Mental Disorder Not Otherwise Listed , Syncope and collapse,8,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Syncope and collapse"", value: 8}",
Behavioral  Strange Behavior , Other stimulant abuse uncomplicated,8,"{source:""Behavioral Strange Behavior"", target:""Other stimulant abuse uncomplicated"", value: 8}",
Behavioral  Suicidal Homicidal Ideation , Alcohol abuse with intoxication unspecified,8,"{source:""Behavioral Suicidal Homicidal Ideation"", target:""Alcohol abuse with intoxication unspecified"", value: 8}",
