,complaint,impression,diagnosis,count
15824,Traffic Transportation Incident,Injury Head With Loc,Concussion,4
15844,Traffic Transportation Incident,Injury Head Without Loc,Injury Of Head,4
15846,Traffic Transportation Incident,Injury Head Without Loc,Laceration ,11
15850,Traffic Transportation Incident,Injury Head Without Loc,Strain Of Musclele,5
15853,Traffic Transportation Incident,Injury Hip,Contusion Of Hip,3
15855,Traffic Transportation Incident,Injury Hip,Dislocation Of Internal Hip Prosthesis,5
15868,Traffic Transportation Incident,Injury Hip,Strain Of Musclele,4
15892,Traffic Transportation Incident,Injury Lower Back,Fracture Of Lumbar Vertebra,3
15908,Traffic Transportation Incident,Injury Lower Back,Minor Contusion Of Kidney,4
15911,Traffic Transportation Incident,Injury Lower Back,Multiple Fractures Of Ribs,3
15924,Traffic Transportation Incident,Injury Lower Back,Stable Burst Fracture Of T11T12 Vertebra,3
15925,Traffic Transportation Incident,Injury Lower Back,Strain Of Musclele,25
15929,Traffic Transportation Incident,Injury Lower Leg,Abrasion,5
15938,Traffic Transportation Incident,Injury Lower Leg,Contusion Of Knee,7
15939,Traffic Transportation Incident,Injury Lower Leg,Contusion Of Leg,4
15944,Traffic Transportation Incident,Injury Lower Leg,Displaced Bicondylar Fracture Of Tibia,6
15945,Traffic Transportation Incident,Injury Lower Leg,Displaced Bicondylar Fracturetibia,4
15948,Traffic Transportation Incident,Injury Lower Leg,Displaced Spiral Fracture Of Shaft Of Tibia,3
15956,Traffic Transportation Incident,Injury Lower Leg,Fracture Of Tibia,3
15959,Traffic Transportation Incident,Injury Lower Leg,Injury Of Head,3
15961,Traffic Transportation Incident,Injury Lower Leg,Laceration ,6
15968,Traffic Transportation Incident,Injury Lower Leg,Sprain Of Ligament Of Ankle,3
15971,Traffic Transportation Incident,Injury Lower Leg,Strain Of Musclele,6
15978,Traffic Transportation Incident,Injury Neck,Cervicalgia,9
15980,Traffic Transportation Incident,Injury Neck,Concussion,8
15987,Traffic Transportation Incident,Injury Neck,Fracture Of Seventh Cervical Vertebra,5
15990,Traffic Transportation Incident,Injury Neck,Injury Of Head,6
15995,Traffic Transportation Incident,Injury Neck,Laceration ,5
16005,Traffic Transportation Incident,Injury Neck,Sprain Of Ligaments Of Cervical Spine,15
16007,Traffic Transportation Incident,Injury Neck,Strain Of Musclele,74
16009,Traffic Transportation Incident,Injury Neck,Syncope And Collapse,3
16014,Traffic Transportation Incident,Injury Not Otherwise Listed,Abrasion,12
16020,Traffic Transportation Incident,Injury Not Otherwise Listed,Abrasion Of Head,6
16031,Traffic Transportation Incident,Injury Not Otherwise Listed,Cervicalgia,9
16032,Traffic Transportation Incident,Injury Not Otherwise Listed,Chest Pain,4
16036,Traffic Transportation Incident,Injury Not Otherwise Listed,Concussion,19
16038,Traffic Transportation Incident,Injury Not Otherwise Listed,Contusion Of Abdominal Wall,3
16043,Traffic Transportation Incident,Injury Not Otherwise Listed,Contusion Of Forearm,3
16044,Traffic Transportation Incident,Injury Not Otherwise Listed,Contusion Of Front Wall Of Thorax,18
16045,Traffic Transportation Incident,Injury Not Otherwise Listed,Contusion Of Hand,3
16046,Traffic Transportation Incident,Injury Not Otherwise Listed,Contusion Of Head,5
16047,Traffic Transportation Incident,Injury Not Otherwise Listed,Contusion Of Hip,10
16048,Traffic Transportation Incident,Injury Not Otherwise Listed,Contusion Of Knee,10
16049,Traffic Transportation Incident,Injury Not Otherwise Listed,Contusion Of Leg,6
16054,Traffic Transportation Incident,Injury Not Otherwise Listed,Contusion Of Shoulder,5
16064,Traffic Transportation Incident,Injury Not Otherwise Listed,Displaced Bicondylar Fracture Of Tibia,5
16067,Traffic Transportation Incident,Injury Not Otherwise Listed,Displaced Bimalleolar Fracture Of Leg,3
16081,Traffic Transportation Incident,Injury Not Otherwise Listed,Dorsalgia,3
16082,Traffic Transportation Incident,Injury Not Otherwise Listed,Encounter For Exam And Obs Transport Accident,6
16085,Traffic Transportation Incident,Injury Not Otherwise Listed,Flail Chest,6
16089,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of Clavicle,3
16098,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of Humerus,4
16100,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of Lumbar Vertebra,9
16102,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of Medial Malleolus Of Tibia,3
16107,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of Olecran Pro,3
16108,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of One Rib,3
16113,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of Shaft Of Clavicle,4
16115,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of Shaft Of Fibula,3
16122,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of Sternum,4
16126,Traffic Transportation Incident,Injury Not Otherwise Listed,Fracture Of The Of Radius,5
16131,Traffic Transportation Incident,Injury Not Otherwise Listed,Fractures Of Radius,3
16133,Traffic Transportation Incident,Injury Not Otherwise Listed,Headache,4
16141,Traffic Transportation Incident,Injury Not Otherwise Listed,Injury Of Head,20
16142,Traffic Transportation Incident,Injury Not Otherwise Listed,Injury Of Thorax,10
16143,Traffic Transportation Incident,Injury Not Otherwise Listed,Injury Of Wrist,3
16146,Traffic Transportation Incident,Injury Not Otherwise Listed,Intracranial Injury,5
16148,Traffic Transportation Incident,Injury Not Otherwise Listed,Laceration ,52
16155,Traffic Transportation Incident,Injury Not Otherwise Listed,Multiple Fractures Of Ribs,4
16173,Traffic Transportation Incident,Injury Not Otherwise Listed,Pain In Shoulder,3
16187,Traffic Transportation Incident,Injury Not Otherwise Listed,Sprain Of Ligament Of Ankle,3
16188,Traffic Transportation Incident,Injury Not Otherwise Listed,Sprain Of Ligaments Of Cervical Spine,8
16190,Traffic Transportation Incident,Injury Not Otherwise Listed,Sprain Of Site Of Knee,3
16197,Traffic Transportation Incident,Injury Not Otherwise Listed,Strain Of Musclele,67
16198,Traffic Transportation Incident,Injury Not Otherwise Listed,Strain Of Musclele And Tendon Of Back Wall Of Thorax,4
16200,Traffic Transportation Incident,Injury Not Otherwise Listed,Traumatic Subdr Hem,7
16201,Traffic Transportation Incident,Injury Not Otherwise Listed,Traumatic Subrac Hem,5
16224,Traffic Transportation Incident,Injury Pelvis,Fracture Of Acetabulum,4
16235,Traffic Transportation Incident,Injury Shoulder Or Upper Arm,Concussion,5
16242,Traffic Transportation Incident,Injury Shoulder Or Upper Arm,Contusion Of Shoulder,4
16248,Traffic Transportation Incident,Injury Shoulder Or Upper Arm,Fracture Of Clavicle,3
16249,Traffic Transportation Incident,Injury Shoulder Or Upper Arm,Fracture Of Humerus,4
16260,Traffic Transportation Incident,Injury Shoulder Or Upper Arm,Laceration ,4
16262,Traffic Transportation Incident,Injury Shoulder Or Upper Arm,Multiple Fractures Of Ribs,3
16270,Traffic Transportation Incident,Injury Shoulder Or Upper Arm,Strain Muscle Fasc Tend At Shldr Up Arm,3
16271,Traffic Transportation Incident,Injury Shoulder Or Upper Arm,Strain Of Musclele,12
16306,Traffic Transportation Incident,Injury Wrist Hand Or Fingers,Fracture Of The Of Radius,5
16307,Traffic Transportation Incident,Injury Wrist Hand Or Fingers,Intartic Fracture Of Radius,4
16308,Traffic Transportation Incident,Injury Wrist Hand Or Fingers,Laceration ,6
16325,Traffic Transportation Incident,Intracranial Stroke CVa Hemorrhagic,Laceration ,4
16333,Traffic Transportation Incident,Low Back Pain,Strain Of Musclele,3
16344,Traffic Transportation Incident,Neuro Altered Mental Status Altered Loc Decreased Loc,Altered Mental Status,3
16349,Traffic Transportation Incident,Neuro Altered Mental Status Altered Loc Decreased Loc,Concussion,12
16355,Traffic Transportation Incident,Neuro Altered Mental Status Altered Loc Decreased Loc,Convulsions,3
16364,Traffic Transportation Incident,Neuro Altered Mental Status Altered Loc Decreased Loc,Epilepsy,3
16372,Traffic Transportation Incident,Neuro Altered Mental Status Altered Loc Decreased Loc,Injury Of Head,5
16373,Traffic Transportation Incident,Neuro Altered Mental Status Altered Loc Decreased Loc,Intracranial Injury,3
16385,Traffic Transportation Incident,Neuro Altered Mental Status Altered Loc Decreased Loc,Strain Of Musclele,6
16387,Traffic Transportation Incident,Neuro Altered Mental Status Altered Loc Decreased Loc,Traumatic Subrac Hem,3
16399,Traffic Transportation Incident,Neuro Headache Pain,Headache,4
16401,Traffic Transportation Incident,Neuro Headache Pain,Injury Of Head,4
16407,Traffic Transportation Incident,Neuro Headache Pain,Sprain Of Ligaments Of Cervical Spine,3
16408,Traffic Transportation Incident,Neuro Headache Pain,Strain Of Musclele,8
16409,Traffic Transportation Incident,Neuro Headache Pain,Traumatic Subdr Hem,4
16419,Traffic Transportation Incident,Neuro Seizure,Epilepsy,5
16430,Traffic Transportation Incident,Not Applicable,Concussion,5
16454,Traffic Transportation Incident,Not Applicable,Laceration ,5
16460,Traffic Transportation Incident,Not Applicable,Strain Of Musclele,13
16485,Traffic Transportation Incident,Not Recorded,Displaced Bicondylar Fracture Of Tibia,6
16498,Traffic Transportation Incident,Not Recorded,Fracture Of Lumbar Vertebra,3
16515,Traffic Transportation Incident,Not Recorded,Laceration ,11
16518,Traffic Transportation Incident,Not Recorded,Multiple Fractures Of Ribs,3
16526,Traffic Transportation Incident,Not Recorded,Sprain Of Ligament Of Ankle,3
16530,Traffic Transportation Incident,Not Recorded,Strain Of Musclele,18
16532,Traffic Transportation Incident,Not Recorded,Traumatic Subdr Hem,4
16533,Traffic Transportation Incident,Not Recorded,Traumatic Subrac Hem,4
16551,Traffic Transportation Incident,Pain,Concussion,6
16555,Traffic Transportation Incident,Pain,Contusion Of Front Wall Of Thorax,8
16569,Traffic Transportation Incident,Pain,Fracture Of Acetabulum,3
16583,Traffic Transportation Incident,Pain,Injury Of Head,4
16586,Traffic Transportation Incident,Pain,Laceration ,5
16601,Traffic Transportation Incident,Pain,Sprain Of Ligaments Of Cervical Spine,5
16604,Traffic Transportation Incident,Pain,Strain Of Musclele,40
16608,Traffic Transportation Incident,Pain,Traumatic Subdr Hem,4
16613,Traffic Transportation Incident,Pain Back Nontraumatic,Cervicalgia,6
16622,Traffic Transportation Incident,Pain Back Nontraumatic,Contusion Of Front Wall Of Thorax,4
16623,Traffic Transportation Incident,Pain Back Nontraumatic,Contusion Of Head,4
16626,Traffic Transportation Incident,Pain Back Nontraumatic,Dorsalgia,3
16631,Traffic Transportation Incident,Pain Back Nontraumatic,Fracture Of Lumbar Vertebra,3
16644,Traffic Transportation Incident,Pain Back Nontraumatic,Injury Of Head,7
16645,Traffic Transportation Incident,Pain Back Nontraumatic,Intracranial Injury,5
16646,Traffic Transportation Incident,Pain Back Nontraumatic,Laceration ,4
16648,Traffic Transportation Incident,Pain Back Nontraumatic,Multiple Fractures Of Ribs,3
16656,Traffic Transportation Incident,Pain Back Nontraumatic,Sprain Of Ligaments Of Cervical Spine,8
16659,Traffic Transportation Incident,Pain Back Nontraumatic,Strain Of Musclele,46
16660,Traffic Transportation Incident,Pain Back Nontraumatic,Strain Of Musclele And Tendon Of Back Wall Of Thorax,3
16663,Traffic Transportation Incident,Pain Chest Presumed Noncardiac,Chest Pain,9
16664,Traffic Transportation Incident,Pain Chest Presumed Noncardiac,Concussion,3
16666,Traffic Transportation Incident,Pain Chest Presumed Noncardiac,Contusion Of Front Wall Of Thorax,20
16667,Traffic Transportation Incident,Pain Chest Presumed Noncardiac,Fracture Of Body Of Sternum,4
16680,Traffic Transportation Incident,Pain Chest Presumed Noncardiac,Strain Of Musclele,8
16716,Traffic Transportation Incident,Pain Neck Nontraumatic,Strain Of Musclele,5
16719,Traffic Transportation Incident,Pain Not Elsewhere Classified,Concussion,3
16726,Traffic Transportation Incident,Pain Not Elsewhere Classified,Laceration ,3
16736,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Cervicalgia,4
16738,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Concussion,9
16743,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Contusion Of Front Wall Of Thorax,4
16751,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Displaced Bicondylar Fracture Of Tibia,3
16765,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Fracture Of Humerus,6
16778,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Injury Of Head,9
16780,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Injury Of Thorax,3
16781,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Laceration ,12
16787,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Pain In Shoulder,3
16790,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Sprain Of Joints And Ligaments Of Parts Of Neck,4
16792,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Sprain Of Ligaments Of Cervical Spine,5
16795,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Sprain Of Wrist,3
16796,Traffic Transportation Incident,Pain Not Elsewhere Mentioned Sudden Onset,Strain Of Musclele,26
16834,Traffic Transportation Incident,Weakness,Encounter For Exam And Obs Transport Accident,3
16846,Traffic Transportation Incident,Weakness,Strain Of Musclele,4
16859,Transfer Interfacility Palliative Care,Abdominal Pain,Sepsis,3
16861,Transfer Interfacility Palliative Care,Abdominal Pain,Urinary Tract Infection,3
16873,Transfer Interfacility Palliative Care,Abuse Of Alcohol,Alcohol Dependence,3
16880,Transfer Interfacility Palliative Care,Abuse Of Alcohol Withdrawal,Alcohol Dependence,5
16888,Transfer Interfacility Palliative Care,Abuse Of Narcotic Ie Heroin,Sepsis,3
16905,Transfer Interfacility Palliative Care,Behavioral Depression,Major Depressive Disorder,7
16912,Transfer Interfacility Palliative Care,Behavioral Depression,Suicidal Ideations,7
16920,Transfer Interfacility Palliative Care,Behavioral Mental Disorder Not Otherwise Listed,Bipolar Disorder,5
16922,Transfer Interfacility Palliative Care,Behavioral Mental Disorder Not Otherwise Listed,Brief Psychotic Disorder,3
16930,Transfer Interfacility Palliative Care,Behavioral Mental Disorder Not Otherwise Listed,Major Depressive Disorder,25
16942,Transfer Interfacility Palliative Care,Behavioral Mental Disorder Not Otherwise Listed,Psychosis,6
16946,Transfer Interfacility Palliative Care,Behavioral Mental Disorder Not Otherwise Listed,Suicidal Ideations,11
16956,Transfer Interfacility Palliative Care,Behavioral Strange Behavior,Psychosis,4
16960,Transfer Interfacility Palliative Care,Behavioral Suicidal Homicidal Ideation,Bipolar Disorder,4
16964,Transfer Interfacility Palliative Care,Behavioral Suicidal Homicidal Ideation,Major Depressive Disorder,12
16970,Transfer Interfacility Palliative Care,Behavioral Suicidal Homicidal Ideation,Suicidal Ideations,9
16976,Transfer Interfacility Palliative Care,Behavioral Suicide Attempt,Laceration ,3
16977,Transfer Interfacility Palliative Care,Behavioral Suicide Attempt,Major Depressive Disorder,8
16984,Transfer Interfacility Palliative Care,Behavioral Suicide Attempt,Poisoning By Antieplptc And SedHypntc Drugs,3
16987,Transfer Interfacility Palliative Care,Behavioral Suicide Attempt,Poisoning By Propionic Acid Derivatives,3
16990,Transfer Interfacility Palliative Care,Behavioral Suicide Attempt,Suicidal Ideations,7
17000,Transfer Interfacility Palliative Care,CV Cardiac Arrhythmia Dysrhythmia,Atrial Flutter,4
17006,Transfer Interfacility Palliative Care,CV Cardiac Arrhythmia Dysrhythmia,NonSt Elevation Nstemi Myocardial Infarction,6
17017,Transfer Interfacility Palliative Care,CV Chest Pain Myocardial Infarction Nonstemi,Chest Pain,3
17021,Transfer Interfacility Palliative Care,CV Chest Pain Myocardial Infarction Nonstemi,NonSt Elevation Nstemi Myocardial Infarction,10
17025,Transfer Interfacility Palliative Care,CV Chest Pain Presumed Cardiac,Athscl Heart Disease Of Native Cor Art,3
17027,Transfer Interfacility Palliative Care,CV Chest Pain Presumed Cardiac,Chest Pain,9
17028,Transfer Interfacility Palliative Care,CV Chest Pain Presumed Cardiac,NonSt Elevation Nstemi Myocardial Infarction,5
17047,Transfer Interfacility Palliative Care,CV Congestive Heart Failure Chf,Hypertensive Heart Disease,4
17066,Transfer Interfacility Palliative Care,CV Pulmonary Embolism,Pulmonary Embolism,4
17073,Transfer Interfacility Palliative Care,Chest Pain,Chest Pain,3
17074,Transfer Interfacility Palliative Care,Chest Pain,NonSt Elevation Nstemi Myocardial Infarction,4
17104,Transfer Interfacility Palliative Care,Endocrine Hyperglycemia Diabetic Diabetes,Diabetes Mellitus,5
17108,Transfer Interfacility Palliative Care,Endocrine Hyperglycemia Diabetic Diabetes,Type 1 Diabetes Mellitus,9
17135,Transfer Interfacility Palliative Care,Fever,Sepsis,6
17138,Transfer Interfacility Palliative Care,GI GU Abdominal Pain Acute Onset,Acute Appendicitis,6
17154,Transfer Interfacility Palliative Care,GI GU Abdominal Pain Acute Onset,Intestinal Obstruction,3
17165,Transfer Interfacility Palliative Care,GI GU Appendicitis Acute Onset,Acute Appendicitis,12
17170,Transfer Interfacility Palliative Care,GI GU Bowel Obstruction,Intestinal Obstruction,3
17176,Transfer Interfacility Palliative Care,GI GU Esophageal Obstruction,Foreign Object In Esophagus Causing Injury,3
17181,Transfer Interfacility Palliative Care,GI GU Generalized Abdominal Pain,Acute Pancreatitis,3
17200,Transfer Interfacility Palliative Care,GI GU Generalized Abdominal Pain,Intestinal Obstruction,3
17246,Transfer Interfacility Palliative Care,Gi Bleed Bloody Stool,Gastrointestinal Hemorrhage,3
17250,Transfer Interfacility Palliative Care,Gi Bleed Hematemesis Vomiting Blood Blood In Vomit,Gastrointestinal Hemorrhage,3
17257,Transfer Interfacility Palliative Care,Infectious Croup,Acute Obstructive Laryngitis [Croup],6
17276,Transfer Interfacility Palliative Care,Infectious Pneumonia,Bacterial Pneumonia,4
17284,Transfer Interfacility Palliative Care,Infectious Pneumonia,Pneumonia,11
17285,Transfer Interfacility Palliative Care,Infectious Pneumonia,Pneumonitis,3
17286,Transfer Interfacility Palliative Care,Infectious Pneumonia,Sepsis,4
17299,Transfer Interfacility Palliative Care,Infectious Sepsis,Sepsis,9
17327,Transfer Interfacility Palliative Care,Injury Head,Fracture Of Occiput,5
17330,Transfer Interfacility Palliative Care,Injury Head,Fracture Of Vault Of Skull,6
17333,Transfer Interfacility Palliative Care,Injury Head,Injury Of Head,4
17335,Transfer Interfacility Palliative Care,Injury Head,Laceration ,3
17340,Transfer Interfacility Palliative Care,Injury Head,Traumatic Subdr Hem,9
17341,Transfer Interfacility Palliative Care,Injury Head,Traumatic Subrac Hem,7
17367,Transfer Interfacility Palliative Care,Injury Lower Leg,Displaced Spiral Fracture Of Shaft Of Femur,4
17381,Transfer Interfacility Palliative Care,Injury Lung Pneumothorax Traumatic,Traumatic Pneumothorax,4
17406,Transfer Interfacility Palliative Care,Injury Not Otherwise Listed,Laceration ,6
17419,Transfer Interfacility Palliative Care,Injury Shoulder Or Upper Arm,Displaced Simple Suprcndl Fracture,3
17424,Transfer Interfacility Palliative Care,Injury Subdural Hemorrhage From Trauma,Traumatic Subdr Hem,3
17456,Transfer Interfacility Palliative Care,Neuro Altered Mental Status Altered Loc Decreased Loc,Acute Kidney Failure,3
17460,Transfer Interfacility Palliative Care,Neuro Altered Mental Status Altered Loc Decreased Loc,Altered Mental Status,5
17475,Transfer Interfacility Palliative Care,Neuro Altered Mental Status Altered Loc Decreased Loc,Encephalopathy,3
17494,Transfer Interfacility Palliative Care,Neuro Altered Mental Status Altered Loc Decreased Loc,Sepsis,8
17519,Transfer Interfacility Palliative Care,Neuro Seizure,Epilepsy,3
17525,Transfer Interfacility Palliative Care,Neuro Stroke CVa,Cerebral Infarction,10
17529,Transfer Interfacility Palliative Care,Neuro Stroke CVa,Transient Cerebral Ischemic Attack,3
17553,Transfer Interfacility Palliative Care,Not Applicable,Convulsions,3
17596,Transfer Interfacility Palliative Care,Not Applicable,Traumatic Subdr Hem,5
17597,Transfer Interfacility Palliative Care,Not Applicable,Traumatic Subrac Hem,3
17660,Transfer Interfacility Palliative Care,Pain Chest Presumed Noncardiac,Chest Pain,4
17665,Transfer Interfacility Palliative Care,Pain Chest Presumed Noncardiac,Multiple Fractures Of Ribs,3
17667,Transfer Interfacility Palliative Care,Pain Chest Presumed Noncardiac,Osteomyelitis,4
17672,Transfer Interfacility Palliative Care,Pain Chest Presumed Noncardiac,Traumatic Hemothorax,3
17729,Transfer Interfacility Palliative Care,Respiratory Acute Onset Distress,Pleural Effusion,3
17730,Transfer Interfacility Palliative Care,Respiratory Acute Onset Distress,Pneumonia,3
17733,Transfer Interfacility Palliative Care,Respiratory Acute Onset Distress,Sepsis,7
17739,Transfer Interfacility Palliative Care,Respiratory Asthma,Asthma,6
17786,Transfer Interfacility Palliative Care,Symptoms And Signs Involving Emotional State,Major Depressive Disorder,3
17802,Transfer Interfacility Palliative Care,Weakness,Acute Kidney Failure,3
17816,Transfer Interfacility Palliative Care,Weakness,Chest Pain,3
17834,Transfer Interfacility Palliative Care,Weakness,Hyperkalemia,3
17857,Transfer Interfacility Palliative Care,Weakness,Pneumonia,4
17865,Transfer Interfacility Palliative Care,Weakness,Sepsis,4
17872,Transfer Interfacility Palliative Care,Weakness,Urinary Tract Infection,3
17874,Transfer Interfacility Palliative Care,Weakness,Weakness,4
17974,Traumatic Injury,Hemorrhage Not Elsewhere Classified,Laceration ,3
17982,Traumatic Injury,Injury Ankle,Displaced Bimalleolar Fracture Of Leg,5
17984,Traumatic Injury,Injury Ankle,Displaced Trimalleolar Fracture Of Leg,4
17985,Traumatic Injury,Injury Ankle,Fracture Of Fibula,5
17991,Traumatic Injury,Injury Ankle,Sprain Of Ligament Of Ankle,6
18008,Traumatic Injury,Injury Elbow,Posterior Dislocation Of Ulnohumeral Joint,3
18018,Traumatic Injury,Injury Face,Laceration ,4
18045,Traumatic Injury,Injury Head,Concussion,17
18052,Traumatic Injury,Injury Head,Fracture Of Base Of Skull,5
18061,Traumatic Injury,Injury Head,Injury Of Head,5
18062,Traumatic Injury,Injury Head,Intracranial Injury,8
18063,Traumatic Injury,Injury Head,Laceration ,12
18073,Traumatic Injury,Injury Head,Traumatic Subrac Hem,10
18080,Traumatic Injury,Injury Head Without Loc,Fracture Of Vault Of Skull,3
18091,Traumatic Injury,Injury Hip,Dislocation Of Internal Hip Prosthesis,13
18093,Traumatic Injury,Injury Hip,Displaced Intertrochanteric Fracture Of Femur,6
18113,Traumatic Injury,Injury Lower Back,Contusion Of Back And Pelvis,3
18117,Traumatic Injury,Injury Lower Back,Fracture Of Lumbar Vertebra,3
18129,Traumatic Injury,Injury Lower Back,Strain Of Musclele,7
18133,Traumatic Injury,Injury Lower Leg,Abrasion,3
18140,Traumatic Injury,Injury Lower Leg,Dislocation Of Patella,7
18141,Traumatic Injury,Injury Lower Leg,Displaced Bicondylar Fracture Of Tibia,3
18146,Traumatic Injury,Injury Lower Leg,Displaced Comminuted Fracture Of Shaft Of Tibia,3
18155,Traumatic Injury,Injury Lower Leg,Displaced Trimalleolar Fracture Of Leg,3
18158,Traumatic Injury,Injury Lower Leg,Fracture Of Femur,3
18159,Traumatic Injury,Injury Lower Leg,Fracture Of Fibula,5
18168,Traumatic Injury,Injury Lower Leg,Internal Derangement Of Knee,3
18169,Traumatic Injury,Injury Lower Leg,Laceration ,5
18180,Traumatic Injury,Injury Lower Leg,Sprain Of Site Of Knee,3
18186,Traumatic Injury,Injury Neck,Concussion,3
18196,Traumatic Injury,Injury Neck,Strain Of Musclele,6
18210,Traumatic Injury,Injury Not Otherwise Listed,Cellulitis Of Limb,3
18215,Traumatic Injury,Injury Not Otherwise Listed,Concussion,12
18236,Traumatic Injury,Injury Not Otherwise Listed,Dislocation Of Internal Hip Prosthesis,7
18239,Traumatic Injury,Injury Not Otherwise Listed,Dislocation Of Patella,8
18243,Traumatic Injury,Injury Not Otherwise Listed,Displaced Bimalleolar Fracture Of Leg,5
18244,Traumatic Injury,Injury Not Otherwise Listed,Displaced Comminuted Fracture Of Shaft Of Femur,3
18247,Traumatic Injury,Injury Not Otherwise Listed,Displaced Intertrochanteric Fracture Of Femur,3
18254,Traumatic Injury,Injury Not Otherwise Listed,Displaced Trimalleolar Fracture Of Leg,3
18264,Traumatic Injury,Injury Not Otherwise Listed,Fracture Of Humerus,5
18292,Traumatic Injury,Injury Not Otherwise Listed,Injury Of Head,11
18298,Traumatic Injury,Injury Not Otherwise Listed,Intracranial Injury,3
18300,Traumatic Injury,Injury Not Otherwise Listed,Laceration ,37
18302,Traumatic Injury,Injury Not Otherwise Listed,Lateral Dislocation Of Patella,3
18305,Traumatic Injury,Injury Not Otherwise Listed,Multiple Fractures Of Ribs,4
18315,Traumatic Injury,Injury Not Otherwise Listed,Pain In Knee,4
18321,Traumatic Injury,Injury Not Otherwise Listed,Periprosth Fracture Around Internal Prosthhip Jt,3
18330,Traumatic Injury,Injury Not Otherwise Listed,Sepsis,3
18336,Traumatic Injury,Injury Not Otherwise Listed,Sprain Of Ligament Of Ankle,5
18340,Traumatic Injury,Injury Not Otherwise Listed,Sprain Of Site Of Knee,3
18343,Traumatic Injury,Injury Not Otherwise Listed,Strain Of Musclele,8
18348,Traumatic Injury,Injury Not Otherwise Listed,Traumatic Subrac Hem,4
18367,Traumatic Injury,Injury Shoulder Or Upper Arm,Dislocation Of Acromioclavicular Joint,3
18368,Traumatic Injury,Injury Shoulder Or Upper Arm,Dislocation Of Shoulder Joint,3
18373,Traumatic Injury,Injury Shoulder Or Upper Arm,Fracture Of Humerus,4
18385,Traumatic Injury,Injury Shoulder Or Upper Arm,Recurrent Dislocation,3
18419,Traumatic Injury,Laceration ion Without Foreign Body Thigh Sequela,Laceration ,3
18430,Traumatic Injury,Neuro Altered Mental Status Altered Loc Decreased Loc,Concussion,5
18440,Traumatic Injury,Neuro Altered Mental Status Altered Loc Decreased Loc,Multiple Fractures Of Ribs,4
18453,Traumatic Injury,Neuro Headache Pain,Concussion,3
18479,Traumatic Injury,Not Applicable,Laceration ,7
18489,Traumatic Injury,Not Recorded,Concussion,3
18492,Traumatic Injury,Not Recorded,Dislocation Of Internal Hip Prosthesis,4
18538,Traumatic Injury,Pain,Concussion,3
18585,Traumatic Injury,Pain,Strain Of Musclele,6
18599,Traumatic Injury,Pain Back Nontraumatic,Low Back Pain,5
18613,Traumatic Injury,Pain Back Nontraumatic,Strain Of Musclele,4
18616,Traumatic Injury,Pain Chest Presumed Noncardiac,Contusion Of Front Wall Of Thorax,3
18653,Traumatic Injury,Pain Not Elsewhere Mentioned Sudden Onset,Concussion,3
18683,Traumatic Injury,Pain Not Elsewhere Mentioned Sudden Onset,Strain Of Musclele,7
18724,Unconscious Fainting NearFainting,Abuse Of Alcohol,Alcohol Abuse,23
18725,Unconscious Fainting NearFainting,Abuse Of Alcohol,Alcohol Dependence,4
18726,Unconscious Fainting NearFainting,Abuse Of Alcohol,Altered Mental Status,3
18743,Unconscious Fainting NearFainting,Abuse Of Alcohol Intoxication,Alcohol Abuse,18
18744,Unconscious Fainting NearFainting,Abuse Of Alcohol Intoxication,Alcohol Dependence,7
18749,Unconscious Fainting NearFainting,Abuse Of Alcohol Intoxication,Injury Of Head,3
18763,Unconscious Fainting NearFainting,Abuse Of Narcotic Ie Heroin,Altered Mental Status,3
18772,Unconscious Fainting NearFainting,Abuse Of Narcotic Ie Heroin,Poisoning By Drug Meds Biol Subst,3
18773,Unconscious Fainting NearFainting,Abuse Of Narcotic Ie Heroin,Poisoning By Heroin,13
18774,Unconscious Fainting NearFainting,Abuse Of Narcotic Ie Heroin,Poisoning By Narcotics,3
18776,Unconscious Fainting NearFainting,Abuse Of Narcotic Ie Heroin,Poisoning By Opioids,4
